Apprentice/trainee status,Year Total,"2,019",2020,2021,2022,2023,State/territory of data submitter,Age group,Disability status
Apprentice or trainee,"9,005","1,610","1,525","1,765","2,130","1,975",New South Wales,15 to 19 years,With a disability
Not an apprentice or trainee,"57,395","11,735","10,415","11,510","11,170","12,565",New South Wales,15 to 19 years,With a disability
Apprentice or trainee,"175,095","31,485","30,065","34,585","41,345","37,615",New South Wales,15 to 19 years,Without a disability
Not an apprentice or trainee,"277,570","52,930","52,560","57,625","57,505","56,950",New South Wales,15 to 19 years,Without a disability
Apprentice or trainee,"7,970","1,475","1,440","1,600","1,895","1,560",New South Wales,20 to 24 years,With a disability
Not an apprentice or trainee,"42,115","8,980","8,635","9,070","7,910","7,520",New South Wales,20 to 24 years,With a disability
Apprentice or trainee,"155,755","27,830","26,800","30,820","37,585","32,720",New South Wales,20 to 24 years,Without a disability
Not an apprentice or trainee,"264,705","47,220","58,560","60,635","50,670","47,620",New South Wales,20 to 24 years,Without a disability
Apprentice or trainee,"9,390","1,765","1,530","2,000","2,100","1,995",Victoria,15 to 19 years,With a disability
Not an apprentice or trainee,"20,340","4,505","4,185","3,905","3,695","4,050",Victoria,15 to 19 years,With a disability
Apprentice or trainee,"107,660","20,340","18,330","21,205","25,120","22,665",Victoria,15 to 19 years,Without a disability
Not an apprentice or trainee,"118,595","28,940","24,060","22,955","20,845","21,795",Victoria,15 to 19 years,Without a disability
Apprentice or trainee,"6,655","1,145","1,095","1,310","1,595","1,510",Victoria,20 to 24 years,With a disability
Not an apprentice or trainee,"28,140","5,940","5,375","5,765","5,390","5,670",Victoria,20 to 24 years,With a disability
Apprentice or trainee,"140,760","25,720","24,445","28,270","33,445","28,880",Victoria,20 to 24 years,Without a disability
Not an apprentice or trainee,"174,205","37,935","34,375","37,820","32,665","31,410",Victoria,20 to 24 years,Without a disability
Apprentice or trainee,"12,135","2,195","2,010","2,400","2,675","2,855",Queensland,15 to 19 years,With a disability
Not an apprentice or trainee,"34,330","5,700","6,240","7,430","7,325","7,635",Queensland,15 to 19 years,With a disability
Apprentice or trainee,"152,980","27,960","26,595","31,160","34,065","33,200",Queensland,15 to 19 years,Without a disability
Not an apprentice or trainee,"242,875","41,820","48,360","51,420","50,585","50,690",Queensland,15 to 19 years,Without a disability
Apprentice or trainee,"7,165","1,055","1,170","1,450","1,710","1,780",Queensland,20 to 24 years,With a disability
Not an apprentice or trainee,"14,545","2,755","2,805","3,180","2,800","3,005",Queensland,20 to 24 years,With a disability
Apprentice or trainee,"129,155","22,265","22,605","26,405","29,855","28,025",Queensland,20 to 24 years,Without a disability
Not an apprentice or trainee,"94,735","19,360","21,890","21,115","16,045","16,325",Queensland,20 to 24 years,Without a disability
Apprentice or trainee,"1,665",265,240,325,385,450,South Australia,15 to 19 years,With a disability
Not an apprentice or trainee,"5,910","1,140","1,095","1,200","1,255","1,220",South Australia,15 to 19 years,With a disability
Apprentice or trainee,"22,420","3,940","3,730","4,705","4,960","5,085",South Australia,15 to 19 years,Without a disability
Not an apprentice or trainee,"46,920","11,180","10,470","8,635","8,105","8,530",South Australia,15 to 19 years,Without a disability
Apprentice or trainee,"2,050",300,345,440,495,470,South Australia,20 to 24 years,With a disability
Not an apprentice or trainee,"4,220",805,745,835,885,950,South Australia,20 to 24 years,With a disability
Apprentice or trainee,"31,885","5,300","5,720","6,815","7,145","6,905",South Australia,20 to 24 years,Without a disability
Not an apprentice or trainee,"36,025","7,160","7,285","7,175","7,335","7,070",South Australia,20 to 24 years,Without a disability
Apprentice or trainee,"2,570",360,340,525,655,690,Western Australia,15 to 19 years,With a disability
Not an apprentice or trainee,"19,115","2,990","3,350","4,025","3,925","4,825",Western Australia,15 to 19 years,With a disability
Apprentice or trainee,"52,905","8,130","8,325","11,015","12,745","12,690",Western Australia,15 to 19 years,Without a disability
Not an apprentice or trainee,"133,640","23,890","26,560","27,620","26,465","29,105",Western Australia,15 to 19 years,Without a disability
Apprentice or trainee,"1,715",205,230,330,470,480,Western Australia,20 to 24 years,With a disability
Not an apprentice or trainee,"12,060","2,080","2,200","2,760","2,375","2,645",Western Australia,20 to 24 years,With a disability
Apprentice or trainee,"54,340","7,945","8,215","10,770","13,765","13,645",Western Australia,20 to 24 years,Without a disability
Not an apprentice or trainee,"84,560","15,255","16,510","19,040","16,600","17,155",Western Australia,20 to 24 years,Without a disability
Apprentice or trainee,"1,250",205,190,220,345,290,Tasmania,15 to 19 years,With a disability
Not an apprentice or trainee,"1,475",380,265,315,255,260,Tasmania,15 to 19 years,With a disability
Apprentice or trainee,"15,145","2,470","2,215","2,855","4,210","3,395",Tasmania,15 to 19 years,Without a disability
Not an apprentice or trainee,"5,460","1,310","1,030","1,090",995,"1,035",Tasmania,15 to 19 years,Without a disability
Apprentice or trainee,"1,445",190,225,295,395,340,Tasmania,20 to 24 years,With a disability
Not an apprentice or trainee,"2,415",595,465,470,455,430,Tasmania,20 to 24 years,With a disability
Apprentice or trainee,"18,640","3,040","2,985","3,805","4,840","3,970",Tasmania,20 to 24 years,Without a disability
Not an apprentice or trainee,"9,155","2,095","1,645","1,950","1,785","1,680",Tasmania,20 to 24 years,Without a disability
Apprentice or trainee,295,35,40,55,85,80,Northern Territory,15 to 19 years,With a disability
Not an apprentice or trainee,"1,285",230,215,260,310,270,Northern Territory,15 to 19 years,With a disability
Apprentice or trainee,"5,135",975,850,990,"1,205","1,115",Northern Territory,15 to 19 years,Without a disability
Not an apprentice or trainee,"11,520","2,320","2,045","2,460","2,320","2,375",Northern Territory,15 to 19 years,Without a disability
Apprentice or trainee,290,45,40,50,75,80,Northern Territory,20 to 24 years,With a disability
Not an apprentice or trainee,495,85,75,115,110,110,Northern Territory,20 to 24 years,With a disability
Apprentice or trainee,"6,415","1,280","1,160","1,290","1,425","1,260",Northern Territory,20 to 24 years,Without a disability
Not an apprentice or trainee,"5,335","1,070",880,"1,185","1,075","1,125",Northern Territory,20 to 24 years,Without a disability
Apprentice or trainee,945,160,150,175,225,235,Australian Capital Territory,15 to 19 years,With a disability
Not an apprentice or trainee,"2,425",515,425,515,525,445,Australian Capital Territory,15 to 19 years,With a disability
Apprentice or trainee,"7,545","1,445","1,365","1,520","1,530","1,685",Australian Capital Territory,15 to 19 years,Without a disability
Not an apprentice or trainee,"9,030","2,175","1,585","1,730","2,200","1,340",Australian Capital Territory,15 to 19 years,Without a disability
Apprentice or trainee,985,190,185,210,210,190,Australian Capital Territory,20 to 24 years,With a disability
Not an apprentice or trainee,"3,240",600,550,710,755,625,Australian Capital Territory,20 to 24 years,With a disability
Apprentice or trainee,"8,940","1,980","1,745","1,855","1,755","1,605",Australian Capital Territory,20 to 24 years,Without a disability
Not an apprentice or trainee,"11,250","2,365","2,215","2,345","2,545","1,780",Australian Capital Territory,20 to 24 years,Without a disability
